,cat_periodo,area_carrera_generica,total_alumnos
147,2013,Periodismo e Información,7468
148,2013,Protección del Medio Ambiente,4836
149,2013,Servicios de Seguridad,74994
150,2013,Servicios de Transporte,1265
151,2013,Servicios Personales,38503
152,2013,Servicios Sociales,33387
153,2013,Veterinaria,10439
154,2014,"Agricultura, Silvicultura y Pesca",15726
155,2014,Arquitectura y Construcción,58045
156,2014,Artes,36581
157,2014,Ciencias de la Vida,7318
158,2014,Ciencias Físicas,14279
159,2014,Ciencias Sociales y del Comportamiento,47037
160,2014,Derecho,43681
161,2014,Enseñanza Comercial y Administración,204548
162,2014,Formación de Personal Docente y Ciencias de la Educación,147789
163,2014,Humanidades,14000
164,2014,Industria y Producción,23273
165,2014,Informática,46724
166,2014,Ingeniería y Profesiones Afines,147270
167,2014,Matemáticas y Estadísticas,2231
168,2014,Medicina,227407
169,2014,Periodismo e Información,7451
170,2014,Protección del Medio Ambiente,4879
171,2014,Servicios de Seguridad,81092
172,2014,Servicios de Transporte,1118
173,2014,Servicios Personales,39286
174,2014,Servicios Sociales,35054
175,2014,Veterinaria,10341
176,2015,"Agricultura, Silvicultura y Pesca",15575
177,2015,Arquitectura y Construcción,61578
178,2015,Artes,35811
179,2015,Ciencias de la Vida,7312
180,2015,Ciencias Físicas,14821
181,2015,Ciencias Sociales y del Comportamiento,47806
182,2015,Derecho,43726
183,2015,Enseñanza Comercial y Administración,213860
184,2015,Formación de Personal Docente y Ciencias de la Educación,140477
185,2015,Humanidades,13521
186,2015,Industria y Producción,26073
187,2015,Informática,46028
188,2015,Ingeniería y Profesiones Afines,153913
189,2015,Matemáticas y Estadísticas,2278
190,2015,Medicina,231598
191,2015,Periodismo e Información,7633
192,2015,Protección del Medio Ambiente,5231
193,2015,Servicios de Seguridad,76715
194,2015,Servicios de Transporte,1167
195,2015,Servicios Personales,41132
196,2015,Servicios Sociales,36326
197,2015,Veterinaria,10462
198,2016,"Agricultura, Silvicultura y Pesca",16094
199,2016,Arquitectura y Construcción,64112
200,2016,Artes,35625
201,2016,Ciencias de la Vida,7106
202,2016,Ciencias Físicas,15269
203,2016,Ciencias Sociales y del Comportamiento,50116
204,2016,Derecho,44824
205,2016,Enseñanza Comercial y Administración,224513
206,2016,Formación de Personal Docente y Ciencias de la Educación,139890
207,2016,Humanidades,13423
208,2016,Industria y Producción,23862
209,2016,Informática,46013
210,2016,Ingeniería y Profesiones Afines,159603
211,2016,Matemáticas y Estadísticas,2409
212,2016,Medicina,234982
213,2016,Periodismo e Información,8198
214,2016,Protección del Medio Ambiente,5580
215,2016,Servicios de Seguridad,62398
216,2016,Servicios de Transporte,1187
217,2016,Servicios Personales,43487
218,2016,Servicios Sociales,37582
219,2016,Veterinaria,10905
220,2017,"Agricultura, Silvicultura y Pesca",16866
221,2017,Arquitectura y Construcción,66208
222,2017,Artes,35768
223,2017,Ciencias de la Vida,7129
224,2017,Ciencias Físicas,15088
225,2017,Ciencias Sociales y del Comportamiento,50919
226,2017,Derecho,45858
227,2017,Enseñanza Comercial y Administración,229764
228,2017,Formación de Personal Docente y Ciencias de la Educación,140756
229,2017,Humanidades,13282
230,2017,Industria y Producción,21140
