,cat_periodo,tipo_inst_1,tipo_inst_2,nivel_carrera_2,total_alumnos
85,2012,Universidades,Universidades Privadas,Postítulo,7454
86,2013,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,144365
87,2013,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,18
88,2013,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,173742
89,2013,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,150837
90,2013,Institutos Profesionales,Institutos Profesionales,Postítulo,7568
91,2013,Universidades,Universidades CRUCH,Carreras Profesionales,277227
92,2013,Universidades,Universidades CRUCH,Carreras Técnicas,18506
93,2013,Universidades,Universidades CRUCH,Doctorado,4103
94,2013,Universidades,Universidades CRUCH,Magister,20079
95,2013,Universidades,Universidades CRUCH,Postítulo,6125
96,2013,Universidades,Universidades Privadas,Carreras Profesionales,335835
97,2013,Universidades,Universidades Privadas,Carreras Técnicas,13765
98,2013,Universidades,Universidades Privadas,Doctorado,550
99,2013,Universidades,Universidades Privadas,Magister,21994
100,2013,Universidades,Universidades Privadas,Postítulo,9657
101,2014,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,148010
102,2014,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,2
103,2014,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,181263
104,2014,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,169741
105,2014,Institutos Profesionales,Institutos Profesionales,Postítulo,6391
106,2014,Universidades,Universidades CRUCH,Carreras Profesionales,281508
107,2014,Universidades,Universidades CRUCH,Carreras Técnicas,19887
108,2014,Universidades,Universidades CRUCH,Doctorado,4350
109,2014,Universidades,Universidades CRUCH,Magister,20844
110,2014,Universidades,Universidades CRUCH,Postítulo,6960
111,2014,Universidades,Universidades Privadas,Carreras Profesionales,332745
112,2014,Universidades,Universidades Privadas,Carreras Técnicas,11227
113,2014,Universidades,Universidades Privadas,Doctorado,575
114,2014,Universidades,Universidades Privadas,Magister,21037
115,2014,Universidades,Universidades Privadas,Postítulo,10590
116,2015,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,146540
117,2015,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,6
118,2015,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,187018
119,2015,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,186153
120,2015,Institutos Profesionales,Institutos Profesionales,Postítulo,5631
121,2015,Universidades,Universidades CRUCH,Carreras Profesionales,284433
122,2015,Universidades,Universidades CRUCH,Carreras Técnicas,20515
123,2015,Universidades,Universidades CRUCH,Doctorado,4565
124,2015,Universidades,Universidades CRUCH,Magister,19813
125,2015,Universidades,Universidades CRUCH,Postítulo,7381
126,2015,Universidades,Universidades Privadas,Carreras Profesionales,332579
127,2015,Universidades,Universidades Privadas,Carreras Técnicas,8668
128,2015,Universidades,Universidades Privadas,Doctorado,607
129,2015,Universidades,Universidades Privadas,Magister,20131
130,2015,Universidades,Universidades Privadas,Postítulo,9003
131,2016,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,141711
132,2016,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,9
133,2016,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,189427
134,2016,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,191561
135,2016,Institutos Profesionales,Institutos Profesionales,Postítulo,3679
136,2016,Universidades,Universidades CRUCH,Carreras Profesionales,291039
137,2016,Universidades,Universidades CRUCH,Carreras Técnicas,21816
138,2016,Universidades,Universidades CRUCH,Doctorado,4936
139,2016,Universidades,Universidades CRUCH,Magister,20703
140,2016,Universidades,Universidades CRUCH,Postítulo,7370
141,2016,Universidades,Universidades Privadas,Carreras Profesionales,336300
142,2016,Universidades,Universidades Privadas,Carreras Técnicas,6626
143,2016,Universidades,Universidades Privadas,Doctorado,609
144,2016,Universidades,Universidades Privadas,Magister,21336
145,2016,Universidades,Universidades Privadas,Postítulo,10056
146,2017,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,136777
147,2017,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,12
148,2017,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,188020
149,2017,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,186689
150,2017,Institutos Profesionales,Institutos Profesionales,Postítulo,2644
151,2017,Universidades,Universidades CRUCH,Carreras Profesionales,296681
152,2017,Universidades,Universidades CRUCH,Carreras Técnicas,22289
153,2017,Universidades,Universidades CRUCH,Doctorado,4897
154,2017,Universidades,Universidades CRUCH,Magister,19365
155,2017,Universidades,Universidades CRUCH,Postítulo,7365
156,2017,Universidades,Universidades Privadas,Carreras Profesionales,339322
157,2017,Universidades,Universidades Privadas,Carreras Técnicas,7514
158,2017,Universidades,Universidades Privadas,Doctorado,639
159,2017,Universidades,Universidades Privadas,Magister,23797
160,2017,Universidades,Universidades Privadas,Postítulo,12282
161,2018,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,136728
162,2018,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,11
163,2018,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,189959
